500 998
258 259 -7340
259 260 4493
260 261 -1791
261 262 9304
262 263 -2202
263 264 1858
264 265 -8596
265 266 -4101
266 267 -2373
267 268 -8907
268 269 -4668
269 270 -1966
270 271 -202
271 272 -4915
272 273 5789
273 274 -7658
274 275 -4649
275 276 -2753
276 277 101
277 278 -6763
278 279 3542
279 280 -9809
280 281 4856
281 282 -8850
282 283 -9803
283 284 7959
284 285 7229
285 286 6301
286 287 -9632
287 288 -9903
288 289 -5683
289 290 4849
290 291 -1292
291 292 -730
292 293 -1806
293 294 2480
294 295 7872
295 296 -4634
296 297 3695
297 298 7216
298 299 7174
299 300 -424
300 301 -157
301 302 5299
302 303 -3618
303 304 2745
304 305 2356
305 306 9341
306 307 6215
307 308 997
308 309 6059
309 310 -2124
310 311 -8711
311 312 -3721
312 313 -5356
313 314 6085
314 315 3445
315 316 7783
316 317 -7213
317 318 1999
318 319 -5649
319 320 5770
320 321 -1747
321 322 -2500
322 323 5951
323 324 -6212
324 325 -3338
325 326 -810
326 327 2013
327 328 3270
328 329 3052
329 330 -9595
330 331 2329
331 332 2798
332 333 5123
333 334 6680
334 335 -675
335 336 -1738
336 337 9560
337 338 -2733
338 339 -9443
339 340 5217
340 341 -3316
341 342 3352
342 343 5124
343 344 4775
344 345 6317
345 346 9720
346 347 9802
347 348 536
348 349 -6018
349 350 510
350 351 -4579
351 352 -4412
352 353 9106
353 354 -3551
354 355 6334
355 356 2435
356 357 2271
357 358 3410
358 359 -4330
359 360 5567
360 361 -5118
361 362 -2471
362 363 -5503
363 364 1476
364 365 7608
365 366 -9219
366 367 -5581
367 368 9122
368 369 -8888
369 370 -1096
370 371 2687
371 372 -43
372 373 170
373 374 -5983
374 375 -7986
375 376 -1601
376 377 -2445
377 378 -592
378 379 -2951
379 380 7291
380 381 -5578
381 382 4514
382 383 -5091
383 384 6887
384 385 -3021
385 386 -4429
386 387 4775
387 388 5259
388 389 1623
389 390 6391
390 391 -2466
391 392 8465
392 393 -8912
393 394 145
394 395 7996
395 396 8163
396 397 -1734
397 398 1603
398 399 -8532
399 400 9988
400 401 9402
401 402 2130
402 403 -2763
403 404 5488
404 405 6613
405 406 -1525
406 407 -4215
407 408 3378
408 409 39
409 410 8375
410 411 -579
411 412 2647
412 413 1827
413 414 7295
414 415 -2987
415 416 4052
416 417 -5636
417 418 9647
418 419 -1587
419 420 3067
420 421 8234
421 422 -7189
422 423 -4343
423 424 8612
424 425 941
425 426 -8875
426 427 5422
427 428 -4103
428 429 -760
429 430 5251
430 431 -7532
431 432 6416
432 433 7244
433 434 -8966
434 435 -880
435 436 -7818
436 437 9097
437 438 -2279
438 439 7262
439 440 -7217
440 441 -3548
441 442 -9851
442 443 -7558
443 444 -8151
444 445 -3461
445 446 -9813
446 447 -1603
447 448 -9184
448 449 8981
449 450 3537
450 451 8574
451 452 452
452 453 -4855
453 454 -6950
454 455 8161
455 456 2231
456 457 9580
457 458 -3644
458 459 -9068
459 460 -5603
460 461 -1208
461 462 -9989
462 463 9734
463 464 8650
464 465 1534
465 466 8194
466 467 4613
467 468 1867
468 469 -3667
469 470 -8102
470 471 -875
471 472 -5564
472 473 -9211
473 474 4696
474 475 -7052
475 476 -37
476 477 -399
477 478 2587
478 479 7567
479 480 1924
480 481 129
481 482 5965
482 483 -9453
483 484 8124
484 485 -1698
485 486 -813
486 487 1576
487 488 4881
488 489 7498
489 490 -9312
490 491 7282
491 492 2219
492 493 -4854
493 494 -421
494 495 2927
495 496 327
496 497 4963
497 498 -5404
498 499 -6861
499 500 8293
1 132 -151
1 171 8358
1 244 6723
1 310 9791
1 316 569
1 324 -1612
1 397 -5942
1 414 3655
2 25 6267
2 39 907
2 104 -8744
2 157 1036
2 173 -7751
2 309 -7230
3 91 -8754
3 110 504
3 136 -4218
3 144 -9056
3 231 -494
3 303 5310
3 353 9242
3 482 -1048
4 43 566
4 77 -3033
4 82 -6069
4 93 -2804
4 247 2557
4 266 1686
4 284 8282
4 364 -8897
4 388 5176
4 423 6365
5 122 722
5 153 8816
6 15 -1593
6 73 7693
6 297 -3253
6 343 154
7 103 8257
7 314 -1756
7 416 -5246
7 451 7495
8 124 -5969
8 162 7179
8 194 -507
8 294 -4333
8 318 -4261
8 359 2771
8 432 2206
9 17 -3864
9 250 -1984
9 307 -4003
9 495 5260
10 114 223
10 168 4271
10 330 7863
10 390 -8598
11 43 4323
11 69 171
11 176 -9470
11 469 6195
12 20 -686
12 277 6273
13 24 -9600
13 61 5960
13 152 4272
13 164 -1175
13 486 7432
14 64 -1515
14 209 9744
14 219 -9493
14 276 7321
14 359 9452
14 396 909
14 492 5070
15 87 -1165
15 211 -290
15 220 -8415
15 242 -1132
15 287 3395
15 302 9956
15 365 -9352
15 496 783
16 49 2410
16 93 4136
16 110 221
16 248 6820
16 275 -7206
16 369 -1699
17 35 -2706
17 69 -1754
17 92 4535
17 185 5372
17 212 7481
17 248 5899
17 272 5930
17 317 2595
17 376 5972
17 427 7949
17 432 -2484
18 241 3362
18 279 2815
18 433 -9810
18 451 6558
19 240 -4667
19 328 -8231
19 335 -7787
19 367 -5912
19 474 -590
20 115 -7690
20 129 356
20 207 -9098
20 237 -3298
20 278 7668
20 307 1045
20 336 -1814
20 385 904
21 167 3714
21 175 1947
21 185 6092
21 285 6656
21 352 1462
22 46 8371
22 63 -7119
22 85 -9225
22 101 -9660
22 156 -9282
22 208 -7025
22 237 -508
22 416 -4591
22 479 -2180
23 117 7541
23 198 3114
24 42 5136
24 89 401
24 268 5400
24 297 3760
24 348 48
25 278 6246
25 281 -2140
25 288 -3078
25 315 1949
25 328 4495
26 80 3206
26 94 6394
26 226 -6114
26 260 -6981
26 322 -560
26 366 -7642
26 432 4115
26 436 2275
27 30 2964
27 99 6073
27 189 3311
27 372 69
28 93 1885
28 192 -2679
28 260 5134
28 284 8488
28 458 -9550
28 496 843
29 61 -9929
29 66 7663
29 83 1029
29 142 -5099
30 288 8221
30 324 -9689
30 373 -5022
30 490 -5396
31 70 5151
31 107 -9611
31 156 -9373
31 221 7268
31 232 2075
31 267 -1337
31 272 1807
31 414 -2222
31 443 -1030
31 475 5263
32 213 4162
32 333 -5050
32 376 -5448
32 433 -4768
32 443 -4981
32 462 2102
33 102 3685
33 147 -865
33 301 -7033
33 392 2279
33 413 7099
34 169 -9727
34 211 8366
34 268 9651
34 357 1218
34 375 3935
34 417 6302
34 439 2083
34 456 -5727
35 225 -9215
35 315 6631
35 362 8945
35 493 3571
36 62 -1242
36 178 6305
36 292 -6348
36 301 2079
36 497 -5712
37 303 -562
37 476 4790
38 126 -761
38 179 2305
38 235 -1218
38 246 3710
38 267 8612
38 365 6473
38 373 -6005
38 376 247
38 388 -7439
38 395 7492
38 456 -4670
38 471 3819
39 122 -6276
39 170 5316
39 193 -3940
39 299 -1837
40 45 -1173
40 81 -5474
40 143 1350
40 161 2640
40 322 -5174
40 336 -7189
40 387 3360
41 66 -4827
41 100 9346
41 183 -9848
41 186 8129
41 220 -1776
41 281 5319
41 286 1270
41 336 6677
41 376 608
42 63 3020
42 131 4949
42 268 712
43 123 6522
43 154 -9305
43 168 4635
43 247 8258
43 258 5745
43 319 -1878
43 406 -1432
43 415 7553
43 428 9924
43 431 1393
43 482 8283
44 66 6927
44 197 -7215
44 231 4764
44 249 7757
44 297 339
44 317 4376
44 422 -1459
44 456 6604
45 68 -2951
45 202 -8727
45 219 1607
45 291 -3145
45 304 -9980
45 353 -6425
45 385 8454
45 403 9929
45 436 5789
45 495 9024
45 496 -5065
46 171 -3812
46 214 -8927
46 259 -6561
46 305 -4498
46 342 -2272
46 351 8878
46 372 5199
46 382 3499
46 452 3501
47 58 -3931
47 71 9490
47 88 9400
47 103 -1551
47 418 -4973
48 159 -3810
48 309 -2321
48 372 823
48 380 -8760
48 396 6428
49 95 -3905
49 125 993
49 196 2779
49 251 -2191
49 255 -2211
49 279 -2141
49 459 2431
49 484 -6785
50 65 4266
50 177 2525
50 194 9155
50 228 -4294
50 297 -1225
51 177 1630
51 223 6854
51 316 -1958
51 327 -9020
52 128 -6427
52 163 -9821
52 185 -8731
52 238 -8566
52 322 8467
52 443 8943
52 455 6943
53 70 -5040
53 414 -507
54 208 5922
54 298 8138
54 367 -863
55 74 -9806
55 111 -3854
55 138 -184
55 188 -944
55 211 7740
56 65 9727
56 141 3669
56 214 1623
56 239 1609
56 244 7576
56 475 -6542
57 176 -130
57 258 -5160
57 365 7655
57 421 -4680
58 333 -6694
59 158 -9038
59 257 3130
59 267 3293
59 326 185
59 343 -4103
59 403 -5780
59 424 9400
59 445 3970
60 75 -4458
60 98 1851
60 151 5579
60 152 -5617
60 158 5691
60 281 -2544
60 337 302
60 427 2681
60 454 632
60 456 4219
60 483 -953
61 83 -7267
61 88 -8574
61 338 1664
61 372 5879
61 429 2849
62 83 6359
62 173 -7617
62 235 -6507
62 270 5311
62 286 2939
62 318 5306
62 365 8961
62 477 -4003
62 480 9555
63 108 9903
63 152 -1476
63 210 -3653
63 267 -8209
63 364 1907
63 477 7451
63 498 -5460
64 68 5150
64 148 -7784
65 86 4268
65 109 -7488
65 128 3617
65 200 1627
65 232 -9315
65 340 4849
65 366 -3340
65 444 6600
65 470 -7730
65 474 3282
65 496 5155
66 108 -8381
67 80 -1948
67 105 8218
67 122 842
67 228 -3447
67 230 -5611
67 317 2463
67 342 -9488
67 478 8343
68 131 5136
68 485 -4213
68 491 -3209
69 117 9912
69 156 9814
69 265 -6541
69 302 -4544
69 308 -3058
69 407 -3295
70 76 7741
70 398 4925
70 480 4684
71 170 -9236
71 266 845
71 337 8723
71 402 9580
71 429 1518
71 439 -3117
72 153 -9242
72 212 -8966
72 322 -4104
72 399 1870
72 468 9545
73 121 784
73 165 1423
73 181 -3188
73 380 -9971
73 448 5790
73 489 -3208
73 494 -2348
74 102 -3527
74 433 3831
75 146 -2873
75 159 1589
75 227 3195
75 422 -9088
75 424 6637
76 101 -2248
76 102 5298
76 216 929
76 226 504
76 235 -5966
76 411 -2763
76 467 -8172
77 111 8021
77 143 4466
77 233 -3445
77 339 -2060
77 352 -3500
77 368 -2876
77 404 -3515
78 188 4530
78 206 4630
78 292 -1847
78 328 1681
78 466 2597
79 85 8242
79 99 5505
79 164 2631
79 181 -5362
79 258 5017
79 278 3258
79 368 2668
79 418 484
79 492 -9964
80 151 -162
80 166 2315
80 313 -2736
80 440 6285
81 106 -5778
81 139 -1971
81 143 6518
81 373 1288
81 407 8131
81 409 9533
82 94 -7789
82 111 -3874
82 158 5544
82 322 981
82 364 -675
82 382 -25
82 442 2404
82 469 -9808
83 183 6801
83 203 -8557
83 233 -3328
83 260 -5134
83 285 1818
83 308 -7277
83 325 7198
83 340 -8417
83 445 -6696
84 95 -7979
84 246 2363
84 443 55
84 499 8931
85 124 8625
85 212 8077
85 363 -7094
